from_node,to_node,distance_m,road_type,max_speed_kmh,oneway
10264334446,10264334421,20.53,secondary,60,1
10264334421,13506319766,27.71,secondary,60,1
13506319766,9794183554,7.36,secondary,60,1
9794183554,4083435341,11.25,secondary,60,1
4083435341,13506319767,7.67,secondary,60,1
13506319767,9212682340,27.66,secondary,60,1
3661513066,12247941854,11.11,secondary,60,1
12247941854,10264255628,9.29,secondary,60,1
10264255628,12247941853,56.80,secondary,60,1
12247941853,10264255641,4.37,secondary,60,1
10264255641,10264255633,81.81,secondary,60,1
10264255633,12146151035,5.40,secondary,60,1
12146151035,12146151042,15.87,secondary,60,1
12146151042,3661513068,14.63,secondary,60,1
3661513068,3661513070,135.98,secondary,60,1
3661513070,3661513072,304.24,secondary,60,1
3661513072,11462925576,148.66,secondary,60,1
11462925576,395135103,21.66,secondary,60,1
249783302,11462925640,21.92,secondary,60,1
11462925640,9884398738,38.72,secondary,60,1
9884398738,9857860395,10.00,secondary,60,1
9857860395,12247941852,0.72,secondary,60,1
12247941852,9179109957,99.98,secondary,60,1
9179109957,2566732703,32.20,secondary,60,1
2566732703,6436650499,78.91,secondary,60,1
6436650499,11002576800,48.55,secondary,60,1
11002576800,11002576795,112.44,secondary,60,1
11002576795,12145761703,12.04,secondary,60,1
12145761703,12145761711,27.42,secondary,60,1
12145761711,11001188164,93.56,secondary,60,1
11001188164,11001188156,46.33,secondary,60,1
11001188156,10264255648,20.50,secondary,60,1
10264255648,267251007,27.10,secondary,60,1
267251007,3661513067,178.78,secondary,60,1
3661513067,11778255749,19.58,secondary,60,1
11778255749,3661513065,2.69,secondary,60,1
3661513065,11301690339,8.87,secondary,60,1
11301690339,11778255747,16.15,secondary,60,1
11778255747,12319493472,31.75,secondary,60,1
12319493472,4881456028,5.59,secondary,60,1
4881456028,267249939,69.64,secondary,60,1
267249939,12247941856,10.97,secondary,60,1
12247941856,3661513063,0.81,secondary,60,1
3661513063,267249912,19.91,secondary,60,1
267249930,3742418076,11.91,secondary,60,1
3742418076,3742418072,21.51,secondary,60,1
3742418072,6213742115,48.85,secondary,60,1
6213742115,10264362708,52.72,secondary,60,1
10264362708,6213742118,3.00,secondary,60,1
6213742118,3749161031,4.35,secondary,60,1
3749161031,10264362704,31.50,secondary,60,1
10264362704,3742418070,77.41,secondary,60,1
3742418070,12246292753,11.62,secondary,60,1
12246292753,3742418069,3.51,secondary,60,1
3742418069,3742418068,27.00,secondary,60,1
267249955,3742418060,9.44,secondary,60,1
3742418060,3742418065,8.72,secondary,60,1
3742418065,10264384010,93.46,secondary,60,1
10264384010,10264384009,39.22,secondary,60,1
10264384009,6213742119,38.48,secondary,60,1
6213742119,3742418071,12.84,secondary,60,1
